,airline,manufacturer,model
N948DN,MD-90-30,MCDONNELL DOUGLAS,MD-90-30
N948FR,A319-112,AIRBUS,A319-112
N948UW,ERJ 190-100 IGW,EMBRAER,ERJ 190-100 IGW
N948WN,737-7H4,BOEING,737-7H4
N949AT,717-200,BOEING,717-200
N949DL,MD-88,MCDONNELL DOUGLAS AIRCRAFT CO,MD-88
N949DN,MD-90-30,MCDONNELL DOUGLAS,MD-90-30
N949FR,A319-112,AIRBUS,A319-112
N949UW,ERJ 190-100 IGW,EMBRAER,ERJ 190-100 IGW
N949WN,737-7H4,BOEING,737-7H4
N950AA,B-99,BEECH,B-99
N950AT,717-200,BOEING,717-200
N950DL,MD-88,MCDONNELL DOUGLAS AIRCRAFT CO,MD-88
N950DN,MD-90-30,MCDONNELL DOUGLAS,MD-90-30
N950UW,ERJ 190-100 IGW,EMBRAER,ERJ 190-100 IGW
N950WN,737-7H4,BOEING,737-7H4
N951AA,737-823,BOEING,737-823
N951AT,717-200,BOEING,717-200
N951DL,MD-88,MCDONNELL DOUGLAS AIRCRAFT CO,MD-88
N951DN,MD-90-30,MCDONNELL DOUGLAS,MD-90-30
N951FR,A319-112,AIRBUS,A319-112
N951UW,ERJ 190-100 IGW,EMBRAER,ERJ 190-100 IGW
N951WN,737-7H4,BOEING,737-7H4
N952AA,737-823,BOEING,737-823
N952AT,717-200,BOEING,717-200
N952DL,MD-88,MCDONNELL DOUGLAS AIRCRAFT CO,MD-88
N952DN,MD-90-30,BOEING,MD-90-30
N952FR,A319-112,AIRBUS,A319-112
N952UW,ERJ 190-100 IGW,EMBRAER,ERJ 190-100 IGW
N952WN,737-7H4,BOEING,737-7H4
N953AT,717-200,BOEING,717-200
N953DL,MD-88,MCDONNELL DOUGLAS AIRCRAFT CO,MD-88
N953DN,MD-90-30,MCDONNELL DOUGLAS,MD-90-30
N953FR,A319-112,AIRBUS,A319-112
N953UW,ERJ 190-100 IGW,EMBRAER,ERJ 190-100 IGW
N953WN,737-7H4,BOEING,737-7H4
N954AT,717-200,BOEING,717-200
N954DL,MD-88,MCDONNELL DOUGLAS AIRCRAFT CO,MD-88
N954DN,MD-90-30,MCDONNELL DOUGLAS,MD-90-30
N954UW,ERJ 190-100 IGW,EMBRAER,ERJ 190-100 IGW
N954WN,737-7H4,BOEING,737-7H4
N955AT,717-200,BOEING,717-200
N955DL,MD-88,MCDONNELL DOUGLAS AIRCRAFT CO,MD-88
N955DN,MD-90-30,MCDONNELL DOUGLAS,MD-90-30
N955UW,ERJ 190-100 IGW,EMBRAER,ERJ 190-100 IGW
N955WN,737-7H4,BOEING,737-7H4
N956AA,A36,BEECH,A36
N956AT,717-200,BOEING,717-200
N956DL,MD-88,MCDONNELL DOUGLAS AIRCRAFT CO,MD-88
N956DN,MD-90-30,MCDONNELL DOUGLAS,MD-90-30
N956UW,ERJ 190-100 IGW,EMBRAER,ERJ 190-100 IGW
N956WN,737-7H4,BOEING,737-7H4
N957AT,717-200,BOEING,717-200
N957DL,MD-88,MCDONNELL DOUGLAS AIRCRAFT CO,MD-88
N957DN,MD-90-30,MCDONNELL DOUGLAS,MD-90-30
N957UW,ERJ 190-100 IGW,EMBRAER,ERJ 190-100 IGW
N957WN,737-7H4,BOEING,737-7H4
N958AT,717-200,BOEING,717-200
N958DL,MD-88,MCDONNELL DOUGLAS AIRCRAFT CO,MD-88
N958DN,MD-90-30,MCDONNELL DOUGLAS,MD-90-30
N958UW,ERJ 190-100 IGW,EMBRAER,ERJ 190-100 IGW
N958WN,737-7H4,BOEING,737-7H4
N959AA,RV-6,NORTH WHEELER ORRIN,RV-6
N959AT,717-200,BOEING,717-200
N959DL,MD-88,MCDONNELL DOUGLAS AIRCRAFT CO,MD-88
N959DN,MD-90-30,BOEING,MD-90-30
N959UW,ERJ 190-100 IGW,EMBRAER,ERJ 190-100 IGW
N959WN,737-7H4,BOEING,737-7H4
N960AT,717-200,BOEING,717-200
N960DL,MD-88,MCDONNELL DOUGLAS AIRCRAFT CO,MD-88
N960DN,MD-90-30,BOEING,MD-90-30
N960WN,737-7H4,BOEING,737-7H4
N961AA,FAN JET FALCON SER D,DASSAULT/SUD,FAN JET FALCON SER D
N961AT,717-200,BOEING,717-200
N961DL,MD-88,MCDONNELL DOUGLAS AIRCRAFT CO,MD-88
N961DN,MD-90-30,BOEING,MD-90-30
N961UW,ERJ 190-100 IGW,EMBRAER,ERJ 190-100 IGW
N961WN,737-7H4,BOEING,737-7H4
N962DL,MD-88,MCDONNELL DOUGLAS AIRCRAFT CO,MD-88
N962DN,MD-90-30,BOEING,MD-90-30
N962WN,737-7H4,BOEING,737-7H4
N963AT,717-200,BOEING,717-200
N963DL,MD-88,MCDONNELL DOUGLAS AIRCRAFT CO,MD-88
N963DN,MD-90-30,BOEING,MD-90-30
N963UW,ERJ 190-100 IGW,EMBRAER,ERJ 190-100 IGW
N963WN,737-7H4,BOEING,737-7H4
N964AT,717-200,BOEING,717-200
N964DL,MD-88,MCDONNELL DOUGLAS AIRCRAFT CO,MD-88
N964DN,MD-90-30,BOEING,MD-90-30
N964WN,737-7H4,BOEING,737-7H4
N965AA,152,CESSNA,152
N965AT,717-200,BOEING,717-200
N965DL,MD-88,MCDONNELL DOUGLAS AIRCRAFT CO,MD-88
N965DN,MD-90-30,BOEING,MD-90-30
N965UW,ERJ 190-100 IGW,EMBRAER,ERJ 190-100 IGW
N965WN,737-7H4,BOEING,737-7H4
N966AT,717-200,BOEING,717-200
N966DL,MD-88,MCDONNELL DOUGLAS AIRCRAFT CO,MD-88
N966WN,737-7H4,BOEING,737-7H4
N967AA,172L,CESSNA,172L
N967AT,717-200,BOEING,717-200
N967DL,MD-88,MCDONNELL DOUGLAS AIRCRAFT CO,MD-88
N967UW,ERJ 190-100 IGW,EMBRAER,ERJ 190-100 IGW
N967WN,737-7H4,BOEING,737-7H4
N968AT,717-200,BOEING,717-200
N968DL,MD-88,MCDONNELL DOUGLAS AIRCRAFT CO,MD-88
N968WN,737-7H4,BOEING,737-7H4
N969AT,717-200,BOEING,717-200
N969DL,MD-88,MCDONNELL DOUGLAS AIRCRAFT CO,MD-88
N969WN,737-7H4,BOEING,737-7H4
N970AA,SD-360-300,SHORT BROS,SD-360-300
N970AT,717-200,BOEING,717-200
N970DL,MD-88,MCDONNELL DOUGLAS AIRCRAFT CO,MD-88
N970UY,A321-231,AIRBUS,A321-231
N971AA,150G,CESSNA,150G
N971AT,717-200,BOEING,717-200
N971DL,MD-88,MCDONNELL DOUGLAS AIRCRAFT CO,MD-88
N971UY,A321-231,AIRBUS,A321-231
N972AA,SD3-60,SHORT BROS,SD3-60
N972AT,717-200,BOEING,717-200
N972DL,MD-88,MCDONNELL DOUGLAS AIRCRAFT CO,MD-88
N972UY,A321-231,AIRBUS,A321-231
N973AA,SD3-60,SHORT BROS,SD3-60
N973DL,MD-88,MCDONNELL DOUGLAS AIRCRAFT CO,MD-88
N973UY,A321-231,AIRBUS,A321-231
N974AA,SD3-60,SHORT BROS,SD3-60
N974AT,717-200,BOEING,717-200
N974DL,MD-88,MCDONNELL DOUGLAS AIRCRAFT CO,MD-88
N974UY,A321-231,AIRBUS,A321-231
N975AA,500 S,AERO COMMANDER,500 S
N975AT,717-200,BOEING,717-200
N975DL,MD-88,MCDONNELL DOUGLAS AIRCRAFT CO,MD-88
N975UY,A321-231,AIRBUS,A321-231
N976AA,407,BELL,407
N976DL,MD-88,MCDONNELL DOUGLAS AIRCRAFT CO,MD-88
N976UY,A321-231,AIRBUS,A321-231
N977AA,C90,BEECH,C90
N977AT,717-200,BOEING,717-200
N977DL,MD-88,MCDONNELL DOUGLAS AIRCRAFT CO,MD-88
N977UY,A321-231,AIRBUS,A321-231
N978AT,717-200,BOEING,717-200
N978DL,MD-88,MCDONNELL DOUGLAS AIRCRAFT CO,MD-88
N978UY,A321-231,AIRBUS,A321-231
N979AT,717-200,BOEING,717-200
N979DL,MD-88,MCDONNELL DOUGLAS AIRCRAFT CO,MD-88
N979EV,CL-600-2B19,BOMBARDIER INC,CL-600-2B19
N979UY,A321-231,AIRBUS,A321-231
N980AT,717-200,BOEING,717-200
N980DL,MD-88,MCDONNELL DOUGLAS AIRCRAFT CO,MD-88
N980UY,A321-231,AIRBUS,A321-231
N981AA,ARCH AERIAL OCTO,ARCH AERIAL LLC,ARCH AERIAL OCTO
N981AT,717-200,BOEING,717-200
N981DL,MD-88,MCDONNELL DOUGLAS AIRCRAFT CO,MD-88
N981EV,CL-600-2B19,BOMBARDIER INC,CL-600-2B19
N981UY,A321-231,AIRBUS,A321-231
N982AT,717-200,BOEING,717-200
N982DL,MD-88,MCDONNELL DOUGLAS AIRCRAFT CO,MD-88
N982VJ,A321-231,AIRBUS,A321-231
N983AT,717-200,BOEING,717-200
N983DL,MD-88,MCDONNELL DOUGLAS AIRCRAFT CO,MD-88
N984DL,MD-88,MCDONNELL DOUGLAS AIRCRAFT CO,MD-88
N985AT,717-200,BOEING,717-200
N985DL,MD-88,MCDONNELL DOUGLAS AIRCRAFT CO,MD-88
N986AT,717-200,BOEING,717-200
N986DL,MD-88,MCDONNELL DOUGLAS AIRCRAFT CO,MD-88
N987AA,SR22,CIRRUS DESIGN CORP,SR22
N987AT,717-200,BOEING,717-200
N987DL,MD-88,MCDONNELL DOUGLAS AIRCRAFT CO,MD-88
N987DN,717-200,BOEING,717-200
N988AA,25D,GATES LEARJET,25D
N988AT,717-200,BOEING,717-200
N988DL,MD-88,MCDONNELL DOUGLAS AIRCRAFT CO,MD-88
N988DN,717-200,BOEING,717-200
N989AT,717-200,BOEING,717-200
N989DL,MD-88,MCDONNELL DOUGLAS AIRCRAFT CO,MD-88
N989DN,717-200,BOEING,717-200
N990AA,ARCH AERIAL OCTO,ARCH AERIAL LLC,ARCH AERIAL OCTO
N990AT,717-200,BOEING,717-200
N990DL,MD-88,MCDONNELL DOUGLAS AIRCRAFT CO,MD-88
N991AA,402C,CESSNA,402C
N991AT,717-200,BOEING,717-200
N991DL,MD-88,MCDONNELL DOUGLAS AIRCRAFT CO,MD-88
N992AA,V.3CS,ASTRAEUS AERIAL LLC,V.3CS
N992AT,717-200,BOEING,717-200
N992DL,MD-88,MCDONNELL DOUGLAS AIRCRAFT CO,MD-88
N993AA,V.3CS,ASTRAEUS AERIAL LLC,V.3CS
N993AT,717-200,BOEING,717-200
N993DL,MD-88,MCDONNELL DOUGLAS AIRCRAFT CO,MD-88
N994AA,V.3CS,ASTRAEUS AERIAL LLC,V.3CS
N994AT,717-200,BOEING,717-200
N994DL,MD-88,MCDONNELL DOUGLAS CORPORATION,MD-88
N995AA,V.3CS,ASTRAEUS AERIAL LLC,V.3CS
N995AT,717-200,BOEING,717-200
N995DL,MD-88,MCDONNELL DOUGLAS AIRCRAFT CO,MD-88
N996AT,717-200,BOEING,717-200
N996DL,MD-88,MCDONNELL DOUGLAS AIRCRAFT CO,MD-88
N997AA,A321-231,AIRBUS,A321-231
N997AT,717-200,BOEING,717-200
N997DL,MD-88,MCDONNELL DOUGLAS AIRCRAFT CO,MD-88
N998AT,717-200,BOEING,717-200
N998DL,MD-88,MCDONNELL DOUGLAS CORPORATION,MD-88
N999DN,MD-88,MCDONNELL DOUGLAS CORPORATION,MD-88
